ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,lat,Long
00A,heliport,Total Rf Heliport,11,NA,US,US-PA,Bensalem,00A,,00A,-74.93360138,40.07080078
00AA,small_airport,Aero B Ranch Airport,3435,NA,US,US-KS,Leoti,00AA,,00AA,-101.473911,38.704022
00AK,small_airport,Lowell Field,450,NA,US,US-AK,Anchor Point,00AK,,00AK,-151.6959991,59.94919968
00AL,small_airport,Epps Airpark,820,NA,US,US-AL,Harvest,00AL,,00AL,-86.77030182,34.8647995
00AR,closed,Newport Hospital & Clinic Heliport,237,NA,US,US-AR,Newport,,,,-91.254898,35.6087
00AS,small_airport,Fulton Airport,1100,NA,US,US-OK,Alex,00AS,,00AS,-97.8180194,34.9428028
00AZ,small_airport,Cordes Airport,3810,NA,US,US-AZ,Cordes,00AZ,,00AZ,-112.1650009,34.30559921
00CA,small_airport,Goldstone /Gts/ Airport,3038,NA,US,US-CA,Barstow,00CA,,00CA,-116.8880005,35.3504982
00CL,small_airport,Williams Ag Airport,87,NA,US,US-CA,Biggs,00CL,,00CL,-121.763427,39.427188
00CN,heliport,Kitchen Creek Helibase Heliport,3350,NA,US,US-CA,Pine Valley,00CN,,00CN,-116.4597417,32.7273736
00CO,closed,Cass Field,4830,NA,US,US-CO,Briggsdale,,,,-104.344002,40.622202
00FA,small_airport,Grass Patch Airport,53,NA,US,US-FL,Bushnell,00FA,,00FA,-82.21900177,28.64550018
00FD,heliport,Ringhaver Heliport,25,NA,US,US-FL,Riverview,00FD,,00FD,-82.34539795,28.84659958
00FL,small_airport,River Oak Airport,35,NA,US,US-FL,Okeechobee,00FL,,00FL,-80.96920013,27.23089981
00GA,small_airport,Lt World Airport,700,NA,US,US-GA,Lithonia,00GA,,00GA,-84.06829834,33.76750183
00GE,heliport,Caffrey Heliport,957,NA,US,US-GA,Hiram,00GE,,00GE,-84.73390198,33.88420105
00HI,heliport,Kaupulehu Heliport,43,NA,US,US-HI,Kailua-Kona,00HI,,00HI,-155.980233,19.832715
00ID,small_airport,Delta Shores Airport,2064,NA,US,US-ID,Clark Fork,00ID,,00ID,-116.2139969,48.14530182
00IG,small_airport,Goltl Airport,3359,NA,US,US-KS,McDonald,00IG,,00IG,-101.395994,39.724028
00II,heliport,Bailey Generation Station Heliport,600,NA,US,US-IN,Chesterton,00II,,00II,-87.12280273,41.64450073
00IL,small_airport,Hammer Airport,840,NA,US,US-IL,Polo,00IL,,00IL,-89.56040192,41.97840118
00IN,heliport,St Mary Medical Center Heliport,634,NA,US,US-IN,Hobart,00IN,,00IN,-87.26059723,41.51139832
00IS,small_airport,Hayenga's Cant Find Farms Airport,820,NA,US,US-IL,Kings,00IS,,00IS,-89.12290192,40.02560043
00KS,small_airport,Hayden Farm Airport,1100,NA,US,US-KS,Gardner,00KS,,00KS,-94.93049622,38.72779846
00KY,small_airport,Robbins Roost Airport,1265,NA,US,US-KY,Stanford,00KY,,00KY,-84.61969757,37.40940094
00LA,heliport,Shell Chemical East Site Heliport,15,NA,US,US-LA,Gonzales,00LA,,00LA,-90.980833,30.191944
00LL,heliport,Ac & R Components Heliport,600,NA,US,US-IL,Chatham,00LL,,00LL,-89.70559692,39.66529846
00LS,small_airport,Lejeune Airport,12,NA,US,US-LA,Esterwood,00LS,,00LS,-92.42939758,30.13629913
00MD,small_airport,Slater Field,45,NA,US,US-MD,Federalsburg,00MD,,00MD,-75.75379944,38.75709915
00MI,heliport,Dow Chemical Heliport,588,NA,US,US-MI,Ludington,00MI,,00MI,-86.41670227,43.94940186
00MN,small_airport,Battle Lake Municipal Airport,1365,NA,US,US-MN,Battle Lake,00MN,,00MN,-95.70030212,46.29999924
00MO,small_airport,Cooper Flying Service Airport,970,NA,US,US-MO,Alba,00MO,,00MO,-94.41239929,37.20280075
00MT,closed,Sands Ranch Airport,2600,NA,US,US-MT,Havre,,,,-109.705492,48.53721
00N,small_airport,Bucks Airport,105,NA,US,US-NJ,Bridgeton,00N,,00N,-75.18520355,39.47320175
00NC,small_airport,North Raleigh Airport,348,NA,US,US-NC,Louisburg,00NC,,00NC,-78.37139893,36.08520126
00NJ,heliport,Colgate-Piscataway Heliport,78,NA,US,US-NJ,New Brunswick,00NJ,,00NJ,-74.47460175,40.52090073
00NK,seaplane_base,Cliche Cove Seaplane Base,96,NA,US,US-NY,Beekmantown,00NK,,00NK,-73.3698057,44.8118612
00NY,small_airport,Weiss Airfield,1000,NA,US,US-NY,West Bloomfield,00NY,,00NY,-77.49970245,42.90010071
00OH,closed,Exit 3 Airport,785,NA,US,US-OH,Wauseon,,,,-84.141583,41.590476
00OI,heliport,Miami Valley Hospital Heliport,905,NA,US,US-OH,Dayton,00OI,,00OI,-84.18740082,39.74530029
00OK,small_airport,Gull Bay Landing Airport,960,NA,US,US-OK,Sandsprings,00OK,,00OK,-96.217693,36.198598
